Goroka Airport,GKA
Boundary Bay Airport,YDT
Langley Airport,\N
Denny Island Airport,ZEL
Wekweètì Airport,YFJ
Camaguey-Campo Cuatro Milpas Airport,\N
Cabo San Lucas International Airport,\N
Corn Island,RNI
San Pedro Airport,BZA
Rosita Airport,RFS
Siuna,SIU
Waspam Airport,WSP
San Carlos,\N
Playa Samara/Carrillo Airport,PLD
Constanza - Expedición 14 de Junio National Airport,COZ
Negril Airport,NEG
José Aponte de la Torre Airport,RVR
Charlotte Amalie Harbor Seaplane Base,SPB
D. Casimiro Szlapelis Airport,ARR
Jose De San Martin Airport,JSM
Uyuni Airport,UYU
Abaiang Airport,ABF
Afobakka Airstrip,\N
Alalapadu Airstrip,\N
Albina Airport,ABN
Drietabbetje Airport,DRJ
Kabalebo Airport,\N
Kayser Airport,\N
Kwamalasoemoetoe Airport Airport,\N
Moengo Airstrip,\N
Nieuw Nickerie Airport,ICK
Vincent Fayks Airport,OEM
Sipaliwini Airport,\N
Stoelmanseiland Airport,SMZ
Totness Airport,TOT
Wageningen Airstrip,AGI
Codela Airport,CSC
Orinduik Airport,ORJ
Annai Airport,NAI
Apoteri Airport,\N
Imbaimadai Airport,IMB
Kamarang Airport,KAR
Mabaruma Airport,USI
Mahdia Airport,MHA
Dr Augusto Roberto Fuster International Airport,PJC
Alcides Fernández Airport,ACD
Los Colonizadores Airport,RVE
Batagay Airport,\N
Villa Garzón Airport,VGZ
El Bagre Airport,EBG
Juan H White Airport,CAQ
Mandinga Airport,COG
Golfo de Morrosquillo Airport,TLU
Cabo Frio Airport,CFB
Presidente João Batista Figueiredo Airport,OPS
Gurupi Airport,GRP
Santana do Araguaia Airport,CMP
Breves Airport,BVS
Soure Airport,SFK
Parintins Airport,PIN
Barreiras Airport,BRA
Santa Terezinha Airport,STZ
Minaçu Airport,MQH
Araguaína Airport,AUX
Novo Aripuanã Airport,NVP
Fazenda Colen Airport,LVR
Franca Airport,FRC
Dourados Airport,DOU
Lábrea Airport,LBR
Maestro Marinho Franco Airport,ROO
Tancredo Thomas de Faria Airport,GPB
Santa Terezinha Airport,JCB
General Leite de Castro Airport,RVD
Romeu Zema Airport,AAX
Maués Airport,MBZ
Borba Airport,RBB
Coari Airport,CIZ
Barcelos Airport,BAZ
Diamantino Airport,DMT
Guanambi Airport,GNM
Tsletsi Airport,QDJ
Nzagi Airport,NZA
Lucapa Airport,LBZ
Am Timan Airport,AMC
Shark El Oweinat International Airport,GSQ
Eastern WV Regional Airport/Shepherd Field,MRB
Awassa Airport,AWA
Wilwal International Airport,JIJ
Mekane Selam Airport,MKS
Debra Marcos Airport,DBM
Debre Tabor Airport,DBT
Harar Meda Airport,QHR
Robe Airport,GOB
Mayumba Airport,MYB
Mara Serena Lodge Airstrip,MRE
Meru Mulika Airport,\N
Rumbek Airport,RBX
Yei Airport,\N
Cape Palmas Airport,CPA
Ecuvillens Airport,\N
Inhaca Airport,\N
Ouro Sogui Airport,MAX
Bird Island Airport,BDI
Wadi Halfa Airport,WHF
Kidepo Airport,\N
Kitgum Airport,\N
Bugungu Airport,PAF
Svea Airport,\N
Ny-Ålesund Airport (Hamnerabben),\N
Hatay Airport,HTY
Kihnu Airfield,\N
Ruhnu Airfield,\N
Raivavae Airport,RVV
Lleida-Alguaire Airport,ILD
Ouessant Airport,\N
Bildudalur Airport,BIU
Gjögur Airport,GJR
Sauðárkrókur Airport,SAK
Selfoss Airport,\N
Inishmaan Aerodrome,IIA
Ak Bashat Airport,TDK
Ulgii Mongolei Airport,ULG
Qurghonteppa International Airport,\N
Vologda Airport,VGD
Severo-Evensk Airport,\N
Olenyok Airport,\N
Saskylakh Airport,\N
Leshukonskoye Airport,LDG
Nizhneangarsk Airport,\N
Vanavara Airport,\N
Aykhal Airport,\N
Uktus Airport,\N
Baykit Airport,\N
Biysk Airport,\N
Huesca/Pirineos Airport,HSK
Ciudad Real Central Airport,CQM
Al Najaf International Airport,NJF
Colonsay Airstrip,CSA
Rock Hill - York County Airport,RKH
Allegheny County Airport,AGC
Cecil Airport,\N
Fulton County Airport Brown Field,FTY
Tresco Heliport,TSO
Tarin Kowt Airport,TII
Zaranj Airport,ZAJ
Chakcharan Airport,CCN
Fuyang Xiguan Airport,FUG
Longyan Guanzhishan Airport,LCX
Xingyi Airport,ACX
Liping Airport,HZH
Stepanakert Air Base,\N
Ohio State University Airport,OSU
Addison Airport,ADS
Destin Executive Airport,DTS
Chernobayevka Airport,KHE
Ryans Creek Aerodrome,SZS
Assumption Island Airport,\N
Zhijiang Airport,HJJ
Yarmouth Airport,YQI
Kinston Regional Jetport At Stallings Field,ISO
First Flight Airport,FFA
Maturacá Airport,\N
Carajás Airport,CKS
Centro de Lançamento de Alcântara Airport,\N
Tarempa Airport,MWK
Würzburg-Schenkenturm Airport,\N
São Jacinto Airport,\N
Hopsten Air Base,\N
Persian Gulf International Airport,PGU
Yasouj Airport,YES
Mosul International Airport,OSB
Tajima Airport,TJH
Amakusa Airport,AXJ
Kikai Airport,KKX
Aguni Airport,AGJ
Donoi Airport,\N
Bulgan Airport,UGA
Ulaangom Airport,ULO
Borongan Airport,BPR
Lubang Airport,LBX
Kulob Airport,TJU
Daşoguz Airport,TAZ
Barrow Island Airport,BWB
Derby Airport,DRB
Walgett Airport,WGE
Bathurst Island Airport,BRT
Dunk Island Airport,DKI
Lizard Island Airport,LZR
Hamilton Airport,HLT
Halls Creek Airport,HCQ
Fitzroy Crossing Airport,FIZ
Ravensthorpe Airport,RVT
Wilkins Runway,\N
Provo Municipal Airport,PVU
Steamboat Springs Bob Adams Field,SBS
Delta Municipal Airport,DTA
Richfield Municipal Airport,RIF
Carbon County Regional/Buck Davis Field,PUC
Los Alamos Airport,LAM
Lake Havasu City Airport,HII
Winslow Lindbergh Regional Airport,INW
Douglas Municipal Airport,DGL
Marakei Airport,MZK
Abemama Atoll Airport,AEA
Buariki Airport,AAK
Kuria Airport,KUC
Arorae Island Airport,AIS
Tamana Island Airport,TMN
Beru Airport,BEZ
Nikunau Airport,NIG
Butaritari Atoll Airport,BBG
Makin Island Airport,MTK
Maiana Airport,MNK
Nonouti Airport,NON
Tabiteuea South Airport,TSU
Whitianga Airport,WTZ
Takaka Airport,KTF
Afutara Aerodrome,AFT
Ulawa Airport,RNA
Choiseul Bay Airport,CHY
Santa Ana Airport,NNB
Yandina Airport,XYA
Bartow Municipal Airport,BOW
Dyagilevo Air Base,\N
Fitiuta Airport,FTI
Livermore Municipal Airport,LVK
Mariposa Yosemite Airport,RMY
Grootfontein Airport,GFY
Rundu Airport,NDU
Tasiilaq Heliport,AGM
Jacqueline Cochran Regional Airport,TRM
Santa Monica Municipal Airport,SMO
Bermuda Dunes Airport,UDD
Scottsdale Airport,ZSY
Olympia Regional Airport,OLM
Yolo County Davis Woodland Winters Airport,DWA
Garfield County Regional Airport,RIL
Shively Field,SAA
DeKalb Peachtree Airport,PDK
Monroe County Airport,BMG
Witham Field,SUA
Morristown Municipal Airport,MMU
Napa County Airport,APC
Brown Field Municipal Airport,SDM
Wangen-Lachen Airport,\N
Venice Municipal Airport,VNC
Palm Beach County Glades Airport,PHK
Northwest Florida Beaches International Airport,ECP
San Bernardino International Airport,SBD
Valença Airport,VAL
Caruaru Airport,CAU
Wake Island Airfield,AWK
Aeroclube Airport,QNV
San Carlos Airport,SQL
Courtelary Airport,\N
Koszalin Zegrze Pomorskie Air Base,OSZ
Camp Okavango Airport,\N
Rocky Mount Wilson Regional Airport,RWI
Whittier Airport,\N
Soldotna Airport,SXQ
Gillespie Field,SEE
San Clemente Island Naval Auxiliary Landing Field,\N
Phan Rang Airport,PHA
Na-San Airport,SQH
Truckee Tahoe Airport,TKF
Fréjus Airport,FRJ
Geelong Airport,GEX
Mezen Airport,\N
Vaskovo Airport,\N
Cobb County-Mc Collum Field,RYY
Brumowski  Air Base,\N
Dell Flight Strip,4U9
Mission Field,LVM
Big Timber Airport,6S0
Tulip City Airport,BIV
London Heliport,\N
Venice-Lido Airport,\N
Tallinn Linnahall Heliport,\N
Hernesaari Heliport,HEN
Linkenheim Airport,\N
Monument Valley Airport,\N
Hilversum Airport,\N
Texel Airport,\N
La Cerdanya Airport,\N
Lakeland Linder Regional Airport,LAL
Stary Oskol Airport,\N
Syangboche Airport,SYH
Indianola Municipal Airport,IDL
Cheremshanka Airport,\N
French Valley Airport,RBK
Oristano-Fenosu Airport,FNU
White Waltham Airfield,\N
Mysore Airport,MYQ
Carl R Keller Field,PCW
Dayton-Wright Brothers Airport,MGY
Richmond Municipal Airport,RID
Findlay Airport,FDY
Burlington Executive,\N
Penneshaw Airport,PEA
Engels heliport,EBE
Emporia Municipal Airport,EMP
Skå-Edeby Airport,ESX
Wycombe Air Park,\N
Bembridge Airport,BBP
Waterville / Kings County Municipal Airport,\N
Black Hills Airport-Clyde Ice Field,SPF
Westkapelle heliport,\N
Redcliffe Airport,\N
Oksywie Military Air Base,QYD
Malbork Military Air Base,\N
Lask Military Air Base,\N
Miroslawiec Military Air Base,\N
Krzesiny Military Air Base,\N
Olive Branch Airport,OLV
Viña del mar Airport,\N
Brampton Airport,\N
Zonguldak Airport,ONQ
Rocky Mountain Metropolitan Airport,BJC
Salem Municipal Airport/McNary Field,SLE
Tunica Municipal Airport,UTM
Batken Airport,\N
Kasaba Bay Airport,ZKB
Hunt Field,LND
Hoogeveen Airport,\N
Teuge Airport,\N
Midden-Zeeland Airport,\N
Ameland Airport,\N
Saint-Cyr-l'École Airport,\N
Lawrence J Timmerman Airport,MWC
Southern Wisconsin Regional Airport,JVL
Mantsonyane Airport,\N
Arlington Municipal Airport,GKY
Gwinnett County Briscoe Field,LZU
Bowling Green Warren County Regional Airport,BWG
Richard Lloyd Jones Jr Airport,RVS
Al Minhad Air Base,NHD
Kirovograd Airport,KGO
Roitzschjora Airport,\N
El Alamein International Airport,DBB
Bryce Canyon Airport,BCE
Burlington Alamance Regional Airport,\N
Chkalovskiy Airport,CKL
Tengchong Tuofeng Airport,TCZ
Belbek Airport,UKS
De Peel Air Base,\N
Camp Bastion Airport,\N
New Century Aircenter Airport,JCI
Easton Newnam Field,ESN
Stafsberg Airport,HMR
Ringebu Airfield Frya,\N
Yuba County Airport,MYV
Phillip Island Airport,\N
Halliburton Field,DUC
Garner Field,UVA
Lewis University Airport,LOT
Buchanan Field,CCR
Ocean Reef Club Airport,OCA
Strasbourg Neuhof Airport,\N
Nannhausen Airport,\N
Yushu Batang Airport,YUS
Oshawa Airport,YOO
Marl-Loemühle Airport,\N
Färila Air Base,\N
Lahr Airport,LHA
Monywar Airport,\N
Ohio University Snyder Field,\N
Springfield-Beckley Municipal Airport,SGH
Fazenda Palmital Airport,MSI
Fes Sefrou Airport,\N
Herrera Airport,HEX
Cooinda Airport,CDA
Jabiru Airport,JAB
Regensburg-Oberhub Airport,\N
Hastings Airport,HGS
Philip Billard Municipal Airport,TOP
Benson Airstrip,\N
Rough River State Park Airport,\N
Smyrna Airport,\N
Franklin County Airport,\N
Ngari Gunsa Airport,NGQ
Cochstedt Airport,CSO
Collin County Regional At Mc Kinney Airport,TKI
Chicago Executive Airport,PWK
Southwest Washington Regional Airport,KLS
Benešov Airport,\N
Bougouni Airport,\N
Tureia Airport,ZTA
McMurdo Station Ice Runway,\N
Keekorok Airport,\N
Puerto Obaldia Airport,PUE
Kerch Airport,KHC
Ukunda Airstrip,UKA
Wilmington Airpark,ILN
Marana Regional Airport,AVW
Casa Grande Municipal Airport,CGZ
Mobile Airport,\N
Buckeye Municipal Airport,BXK
Gila Bend Municipal Airport,E63
McMinn County Airport,MMI
Sterling Municipal Airport,STK
Rawlins Municipal Airport/Harvey Field,RWL
Mackenzie Airport,YZY
Essex County Airport,CDW
Lee C Fine Memorial Airport,AIZ
Thomasville Regional Airport,TVI
Henderson Executive Airport,HSH
Gostomel Airport,GML
Henry Tift Myers Airport,TMA
Landshut Airport,\N
Itzehoe/Hungriger Wolf Airport,\N
Radom Airport,QXR
Phoenix Deer Valley Airport,DVT
Calgary / Springbank Airport,\N
Golden Airport,YGE
Revelstoke Airport,YRV
Republic Airport,\N
Allstedt Airport,\N
General Freire Airport,\N
Peine-Eddesse Airport,\N
South Texas Regional Airport at Hondo,HDO
Zhongwei Shapotou Airport,ZHY
McKinley National Park Airport,MCL
Lake Hood Seaplane Base,LHD
Prospect Creek Airport,PPC
Khwai River Lodge Airport,KHW
Spremberg-Welzow Airport,\N
Taichung Airport,TXG
Wheeling Ohio County Airport,HLG
Fitzgerald Municipal Airport,FZG
Ye Airport,XYE
Isla San Felix Airport,\N
Shaibah Airport,\N
Al Maktoum International Airport,DWC
Aransas County Airport,RKP
Megève Airport,MVV
Méribel Altiport,MFX
Okaukuejo Airport,OKF
Mokuti Lodge Airport,OKU
Rotenburg (Wümme) Airport,\N
Wipperfürth-Neye Airport,\N
Osnabrück-Atterheide Airport,\N
Flugplatz Ballenstedt,\N
Hartenholm Airport,\N
Ganderkesee Atlas Airfield Airport,\N
Nienburg-Holzbalge Airport,\N
Damme Airport,\N
Borkenberge Airport,\N
Obermehler-Schlotheim Airport,\N
Hodenhagen Airport,\N
Grube Airport,\N
Tønder Airport,\N
Celle-Arloh Airport,\N
Uelzen Airport,\N
Hamm-Lippewiesen Airport,\N
Lüsse Airport,\N
Porta Westfalica Airport,\N
Brilon/Hochsauerlandkreis Airport,\N
Hameln-Pyrmont Airport,\N
Nordholz-Spieka Airfield,\N
Köthen Airport,\N
St. Michaelisdonn Airport,\N
Salzgitter-Drütte Airport,\N
Karlshöfen Airport,\N
Oldenburg-Hatten Airport,\N
Rinteln Airport,\N
Münster-Telgte Airport,\N
St. Peter-Ording Airport,PSH
Lüchow-Rehbeck Airport,\N
Klietz/Scharlibbe Airport,\N
Burg Airport,\N
Crisp County Cordele Airport,CKF
Ormond Beach Municipal Airport,OMN
Bad Neuenahr-Ahrweiler Airport,\N
Bad Dürkheim Airport,\N
Portland Troutdale Airport,TTD
Portland Hillsboro Airport,HIO
One Police Plaza Heliport,\N
Leverkusen Airport,\N
Wershofen/Eifel Airport,\N
Khost Airport,KHT
Namtu Airport,\N
Bend Municipal Airport,\N
Christmas Valley Airport,\N
Burns Municipal Airport,\N
Prineville Airport,\N
Red Bluff Municipal Airport,\N
Marin County Airport - Gnoss Field,\N
Lake County Airport,\N
Tillamook Airport,\N
Ontario Municipal Airport,\N
Columbia Gorge Regional the Dalles Municipal Airport,\N
Montgomery County Airpark,GAI
Sharana Airstrip,AZ3
Pembroke Airport,YTA
Tsumeb Airport,TSB
Suffield Heliport,YSD
Blumenau Airport,BNU
Charlevoix Municipal Airport,CVX
Mykines Heliport,\N
Cornwall Regional Airport,YCC
Seppe Airport,\N
St Stephan Airport,\N
Zona da Mata Regional Airport,IZA
Flagler County Airport,XFL
Morrisville Stowe State Airport,MVL
Dallas Executive Airport,RBD
Como (Idroscalo - Water Ad) Hidroport,\N
Westerly State Airport,WST
Block Island State Airport,BID
Nightmute Airport,NME
Toksook Bay Airport,OOK
Ittoqqortoormiit Heliport,OBY
Vinnytsia/Gavyryshivka Airport,VIN
Decatur County Industrial Air Park,BGE
La Romaine Airport,\N
Kegaska Airport,ZKG
Black Tickle Airport,YBI
Silver Springs Airport,SPZ
Whiteman Airport,WHP
Madera Municipal Airport,MAE
Trail Airport,YZZ
Victoria Airport,\N
Old Arctic Bay Airport,YAB
Birchwood Airport,BCV
Grand-Santi Airport,\N
Maripasoula Airport,MPY
Saint-Laurent-du-Maroni Airport,LDX
Kanas Airport,KJI
Capurganá Airport,CPB
Sohag International Airport,HMB
Presidente General Don Oscar D. Gestido International Airport,RVY
Patos de Minas Airport,POJ
Bauru - Arealva Airport,JTC
Ourilândia do Norte Airport,OIA
Redenção Airport,RDC
São Félix do Xingu Airport,SXX
Bonito Airport,BYO
São Félix do Araguaia Airport,SXO
Caçador Airport,CFC
Carauari Airport,CAF
Urucu Airport,\N
Eirunepé Airport,ERN
Concórdia Airport,CCI
Francisco Beltrão Airport,FBE
Confresa Airport,CFO
Apalachicola Regional Airport,AAF
Umuarama Airport,UMU
Diamantina Airport,DTI
Fonte Boa Airport,FBA
Senadora Eunice Micheles Airport,OLC
Humaitá Airport,HUW
Tapuruquara Airport,IRZ
Oriximiná Airport,ORX
Hotel Transamérica Airport,UNA
Telfer Airport,TEF
Gazipaşa Airport,GZP
Douglas Municipal Airport,DQH
St Lucie County International Airport,FRP
Taunton Municipal King Field,TAN
Plymouth Municipal Airport,PYM
Quonset State Airport,OQU
Norwood Memorial Airport,OWD
Barnes Municipal Airport,BAF
Windham Airport,IJD
Orange County Airport,MGJ
Capital City Airport,CXY
Marshfield Municipal George Harlow Field,GHG
Danbury Municipal Airport,DXR
Boire Field,ASH
Lawrence Municipal Airport,LWM
Waterbury Oxford Airport,OXC
Fitchburg Municipal Airport,FIT
Earl L. Small Jr. Field/Stockmar Airport,\N
Cartersville Airport,VPC
Centre-Piedmont-Cherokee County Regional Airport,PYP
Richard B Russell Airport,RMG
Northeast Alabama Regional Airport,GAD
Knoxville Downtown Island Airport,DKX
Barrow County Airport,WDR
Plantation Airpark,JYL
Dalton Municipal Airport,DNN
West Georgia Regional O V Gray Field,CTJ
Lagrange Callaway Airport,LGC
Baldwin County Airport,MLJ
Harris County Airport,PIM
Peachtree City Falcon Field,FFC
Lee Gilmer Memorial Airport,GVL
Harry Clever Field,PHD
Darlington County Jetport Airport,UDG
Hilton Head Airport,HHH
Daniel Field,DNL
Foothills Regional Airport,MRN
Pike County-Hatcher Field,PBX
Mallards Landing Airport,\N
Toccoa Airport - R.G. Letourneau Field,TOC
Compton Abbas Aerodrome,\N
Suprunovka Airport,PLV
Aweil Airport,\N
Wau Airport,WUU
Humera Airport,HUE
Moyale Airport,OYL
Zagora Airport,\N
Yengema Airport,WYE
Gbangbatok Airport,GBK
Turukhansk Airport,\N
Podkamennaya Tunguska Airport,\N
Fort Worth Alliance Airport,AFW
East Troy Municipal Airport,57C
Kolpashevo Airport,\N
Ali Al Salem Air Base,\N
Renmark Airport,RMK
Leigh Creek Airport,LGH
Warburton Airport,\N
Cunderdin Airport,\N
Rottnest Island Airport,RTS
Forrest Airport,\N
Ballarat Airport,\N
Keewaywin Airport,KEW
Marathon Airport,YSP
Hearst René Fontaine Municipal Airport,YHF
Hornepayne Municipal Airport,YHN
Kirkland Lake Airport,YKX
Manitouwadge Airport,YMG
Wawa Airport,YXZ
Manitoulin East Municipal Airport,YEM
Slate Falls Airport,\N
Collingwood Airport,\N
Brantford Municipal Airport,YFD
Lawrence Municipal Airport,LWC
Wellington Municipal Airport,EGT
Pompano Beach Airpark,PMP
Mallacoota Airport,XMC
Shelby County Airport,EET
Yuendumu Airport,YUE
Sky Ranch At Carefree Airport,\N
Lombok International Airport,LOP
One Hundred Mile House Airport,\N
South Cariboo Region / 108 Mile Airport,ZML
Glasgow City Heliport,\N
Yarram Airport,\N
Handan Airport,HDG
Indianapolis Metropolitan Airport,UMP
London-Corbin Airport/Magee Field,LOZ
Simmons Army Air Field,FBG
Modlin Airport,WMI
Jixi Xingkaihu Airport,JXA
Jeongseok Airport,\N
Gimli Industrial Park Airport,YGM
Matheson Island Airport,\N
Tura Mountain Airport,\N
Beloyarskiy Airport,EYK
John H Batten Airport,RAC
Cesar Lim Rodriguez Airport,RZP
Gera-Leumnitz Airport,\N
Kasimovo Airfield,\N
Terlet Glider Field,\N
Redlands Municipal Airport,REI
Flabob Airport,RIR
Tacoma Narrows Airport,TIW
Oerlinghausen Airport,\N
Jack Edwards Airport,JKA
General Villamil Airport,\N
Balzers Heliport,\N
Flugplatz Punitz,\N
Khmelnytskyi Airport,HMJ
Hiroshimanishi Airport,HIW
Yalata Mission Airport,\N
Hazleton Municipal Airport,HZL
Greater Cumberland Regional Airport,CBE
Sugar Loaf Shores Airport,\N
Wyndham Airport,\N
Bob Quinn Lake Airport,YBO
Grabtsevo Airport,KLF
Tri-County Regional Airport,LNR
Price County Airport,\N
Monroe Municipal Airport,\N
Joliet Regional Airport,JOT
Illinois Valley Regional Airport-Walter A Duncan Field,VYS
Jackson County Reynolds Field,JXN
Fuerstenwalde Airport,\N
Eberswalde-Finow Airport,\N
Joseph A. Hardy Connellsville Airport,\N
Bedford County Airport,\N
Wings Field,BBX
Okeechobee County Airport,OBE
Sebring Regional Airport,SEF
Avon Park Executive Airport,AVO
Winter Haven Municipal Airport - Gilbert Field,GIF
Zephyrhills Municipal Airport,ZPH
Ocala International Airport - Jim Taylor Field,OCF
Jesup Wayne County Airport,JES
Madison Municipal Airport,52A
Newnan Coweta County Airport,CCO
Thomson-McDuffie County Airport,HQU
Aiken Municipal Airport,AIK
Woodward Field,CDN
Lumberton Regional Airport,LBT
Moore County Airport,SOP
Richmond County Airport,RCZ
Baraboo Wisconsin Dells Airport,DLL
Statesville Regional Airport,SVH
Burlington Municipal Airport,BUU
William T. Piper Memorial Airport,LHV
Zelienople Municipal Airport,\N
Lorain County Regional Airport,LPR
Burke Lakefront Airport,BKL
Chautauqua County-Dunkirk Airport,DKK
South Jersey Regional Airport,VAY
Linden Airport,LDJ
Tri State Steuben County Airport,ANQ
Warsaw Municipal Airport,\N
Van Wert County Airport,VNW
Brooks Field,\N
Genesee County Airport,GVQ
Clearwater Air Park,CLW
Orlampa Inc Airport,\N
Chicago Meigs Airport,CGX
Pickens County Airport,JZP
Saarmund Airport,\N
Grand Strand Airport,CRE
Lansing Municipal Airport,IGQ
Ramona Airport,RNM
Pont Sur Yonne Airfield,\N
St Florentin Cheu Airfield,\N
Saulieu Liernais Airfield,\N
Olten Airport,\N
Buochs Airport,BXO
Ambri Airport,\N
Lodrino Air Base,\N
Roudnice Airport,\N
Usti Nad Labem Airfield,\N
Mauterndorf Airport,\N
Nötsch Im Gailtal Airport,\N
Karlsruhe-Forchheim Airport,\N
Weinheim/Bergstraße Airport,\N
Meaux Esbly Airport,\N
Château-Thierry - Belleau Airport,\N
Branch County Memorial Airport,OEB
Wilkes Barre Wyoming Valley Airport,WBW
Willoughby Lost Nation Municipal Airport,LNN
Taoyuan Air Base,\N
Uummannaq Heliport,UMD
Bayannur Tianjitai Airport,RLK
Capital City Airport,FFT
Auburn Lewiston Municipal Airport,LEW
Inowroclaw Military Air Base,\N
Pruszcz Gdanski Air Base,\N
Bloyer Field,\N
Marco Island Airport,MRK
Drummond Island Airport,DRM
Gladwin Zettel Memorial Airport,GDW
South Haven Area Regional Airport,LWA
Marshfield Municipal Airport,MFI
Alexander Field South Wood County Airport,ISW
Clinton Municipal Airport,CWI
Beverly Municipal Airport,BVY
Nagaur Airport,\N
Ostafyevo International Airport,\N
Trois-Rivières Airport,YRQ
Poplar Bluff Municipal Airport,POF
Somerset Airport,\N
Eastport Municipal Airport,EPM
Keokuk Municipal Airport,EOK
Perth/Scone Airport,PSL
Caernarfon Airport,\N
Grefrath-Niershorst Airport,\N
St Paul Downtown Holman Field,STP
Söderhamn Airport,SOO
Newcastle Aerodrome,\N
Saravane Airport,VNA
Segeletz Airport,\N
Fuentemilanos Airport,\N
Akeno Airport,\N
Ust-Kamchatsk Airport,\N
Oconomowoc Airport,\N
Kozyrevsk Airport,\N
Dikson Airport,DKS
Beverley Airport,\N
Bantry Aerodrome,BYT
Aliwal North Airport,\N
Alkantpan Copper Airport,\N
Alldays Airport,ADY
Barberton Airport,\N
Butler Co Regional Airport - Hogan Field,\N
Bungoma Airport,\N
Bura East Airport,\N
Busia Airport,\N
Embu Airport,\N
Garba Tula Airport,\N
Garissa Airport,GAS
Hola Airport,HOA
Homa Bay Airport,\N
Isiolo Airport,\N
Kericho Airport,KEY
Kilaguni Airport,ILU
Antsirabe Airport,ATJ
Bekily Airport,OVA
Ust-Tsylma Airport,\N
Gorno-Altaysk Airport,RGK
Fond du Lac County Airport,FLD
Waupaca Municipal Airport,PCZ
Stevens Point Municipal Airport,STE
Mys Shmidta Airport,\N
Moma Airport,\N
Luce County Airport,ERY
Peenemünde Airport,PEF
Góraszka Airport,\N
Nusawiru Airport,\N
Galion Municipal Airport,GQQ
Tiputini Airport,TPN
Rio Amazonas Airport,PTZ
Clarksville–Montgomery County Regional Airport,CKV
Lompoc Airport,LPC
Chester County G O Carlson Airport,CTH
Bost Airport,BST
Lankaran International Airport,LLK
Gabala International Airport,GBB
Zaqatala International Airport,ZTU
Lake Placid Airport,LKP
Magan Airport,\N
Cooma Hospital Helipad,DEE
Lima Allen County Airport,AOH
Sondok Airport,DSO
Malcolm McKinnon Airport,SSI
Beaver County Airport,BFP
Georgetown County Airport,GGE
Hardwick Field,HDI
Renton Municipal Airport,RNT
Brackett Field,POC
Cross City Airport,CTY
Oconee County Regional Airport,CEU
Beech Factory Airport,BEC
Tabing Airport,PDG
Tom B. David Field,\N
Habersham County Airport,\N
Georgetown Municipal Airport,GTU
Old Rhinebeck Airport,\N
Duxford Airport,QFO
Sidney Municipal-Lloyd W Carr Field,SNY
Great Keppel Is Airport,GKL
Roper Bar Airport,RPB
Mount Garnet Airport,\N
Innisfail Airport,IFL
Kalaeloa Airport,\N
Bamiyan Airport,BIN
Moomba Airport,MOO
Iosco County Airport,ECA
Madison County Executive Airport-Tom Sharp Jr Field,\N
Leesburg Executive Airport,JYO
Anoka County-Blaine Arpt(Janes Field) Airport,\N
Robinson Crusoe Airport,\N
Villa Airport,VAM
Lingling Airport,LLF
Lošinj Island Airport,LSZ
Onslow Airport,ONS
Theodore Airport,TDR
Williamson Sodus Airport,SDC
Fairoaks Airport,\N
Boulder Municipal Airport,WBU
Neustadt-Glewe Airport,\N
Goetsenhoven Air Base,\N
Tutow Airport,\N
Bremgarten Airport,\N
Bitburg Airport,BBJ
Palo Alto Airport of Santa Clara County,PAO
Ust-Nera Airport,\N
Letiště Vysoké Mýto,\N
Spa (la Sauvenière) Airport,\N
Falcon Field,FFZ
Coolidge Municipal Airport,P08
Cottonwood Airport,P52
Suarlée Airport,\N
Kiewit Airfield Hasselt,\N
Ak-Chin Regional Airport,A39
Wickenburg Municipal Airport,E25
Yangzhou Taizhou Airport,YTY
Oakland County International Airport,PTK
Kissidougou Airport,KSI
Dillant Hopkins Airport,EEN
Kawama Airport,\N
Kooddoo Airport,GKK
Glasgow Industrial Airport,\N
Rochester Airport,RCS
Termas de Río Hondo international Airport,RHD
Keetmanshoop Airport,KMP
Iowa City Municipal Airport,IOW
Turpan Jiaohe Airport,TLQ
Lorenzo Airport,\N
Windom Municipal Airport,MWM
Longview Ranch Airport,\N
Sortavala Airport,\N
Lee Airport,ANP
Cuamba Airport,FXO
Bodaybo Airport,ODO
Zhytomyr Airport,ZTR
Paluknys Airport,\N
Mattala Rajapaksa International Airport,HRI
Pecos Municipal Airport,PEQ
Hattiesburg Bobby L Chain Municipal Airport,HBG
Botucatu - Tancredo de Almeida Neves Airport,QCJ
Base Aérea Airport,\N
São Carlos Airport,QSC
Chan Gurney Municipal Airport,YKN
Sir Bani Yas Airport,XSB
Bromont (Roland Desourdy) Airport,ZBM
Beccles Airport,\N
Kratie Airport,KTI
Caldera Airport,\N
San Pedro de Atacama Airport,\N
Copacabana Airport,\N
Guyuan Liupanshan Airport,GYU
RAF Brawdy,\N
Changhai Airport,CNI
Redhill Aerodrome,KRH
Chinchilla Airport,CCL
Hayward Executive Airport,HWD
Motueka Airport,MZP
Shute Harbour Airport,JHQ
Ann Arbor Municipal Airport,ARB
Shepparton Airport,SHT
Temora Airport,TEM
Gayndah Airport,GAH
Wilcannia Airport,WIO
Ivanhoe Airport,\N
Menindee Airport,\N
Pooncarie Airport,\N
Tilpa Airport,\N
Reichenbach Air Base,\N
Bijie Feixiong Airport,BFJ
Lensk Airport,ULK
Kavalerovo Airport,\N
Şanlıurfa GAP Airport,GNY
Zafer Airport,KZR
Velikiye Luki Airport,VLU
